timeClass,userRating,date
blitz,2354, 2014.01.06
blitz,2438, 2014.01.06
bullet,2336, 2014.01.07
bullet,2411, 2014.01.07
blitz,2509, 2014.01.07
blitz,2556, 2014.01.07
blitz,2590, 2014.01.07
blitz,2616, 2014.01.07
blitz,2491, 2014.01.07
blitz,2523, 2014.01.07
blitz,2548, 2014.01.07
blitz,2568, 2014.01.07
bullet,2504, 2014.01.07
bullet,2562, 2014.01.07
bullet,2602, 2014.01.07
bullet,2632, 2014.01.07
bullet,2656, 2014.01.07
bullet,2675, 2014.01.07
bullet,2691, 2014.01.07
bullet,2705, 2014.01.07
bullet,2717, 2014.01.07
bullet,2728, 2014.01.07
bullet,2738, 2014.01.07
bullet,2747, 2014.01.07
bullet,2755, 2014.01.07
bullet,2762, 2014.01.07
bullet,2769, 2014.01.07
bullet,2775, 2014.01.07
bullet,2781, 2014.01.07
bullet,2787, 2014.01.07
bullet,2792, 2014.01.07
bullet,2797, 2014.01.07
bullet,2802, 2014.01.07
daily,2239, 2014.01.07
daily,2242, 2014.01.07
daily,2287, 2014.01.07
daily,2287, 2014.01.07
daily,2287, 2014.01.07
daily,2306, 2014.01.07
daily,2308, 2014.01.07
daily,2308, 2014.01.07
daily,2321, 2014.01.07
daily,2321, 2014.01.07
daily,2323, 2014.01.07
daily,2332, 2014.01.07
blitz,2600, 2014.02.06
blitz,2625, 2014.02.06
blitz,2646, 2014.02.06
blitz,2663, 2014.02.06
blitz,2678, 2014.02.06
blitz,2691, 2014.02.06
blitz,2702, 2014.02.06
blitz,2712, 2014.02.06
blitz,2721, 2014.02.06
blitz,2729, 2014.02.06
blitz,2737, 2014.02.06
blitz,2744, 2014.02.06
blitz,2751, 2014.02.06
daily,2333, 2014.01.07
blitz,2742, 2014.02.11
daily,2333, 2014.01.07
daily,2336, 2014.01.07
blitz,2747, 2014.02.11
blitz,2699, 2014.02.11
daily,2336, 2014.01.07
daily,2345, 2014.01.07
daily,2345, 2014.01.07
bullet,2804, 2014.02.26
bullet,2834, 2014.02.26
bullet,2857, 2014.02.26
bullet,2876, 2014.02.26
bullet,2833, 2014.02.26
bullet,2852, 2014.02.26
bullet,2816, 2014.02.26
bullet,2835, 2014.02.26
bullet,2851, 2014.02.26
bullet,2865, 2014.02.26
bullet,2877, 2014.02.26
bullet,2867, 2014.02.26
bullet,2878, 2014.02.26
bullet,2851, 2014.02.26
