depto,area,factor,no_hogar,internet_residencial,telefono_celular,tiene_equipamiento,desc_equip
1,1,1070,4,1,1,NA,NA
1,1,1070,2,2,1,NA,NA
1,1,1070,1,1,1,1,Computadora de escritorio
1,1,1070,3,1,1,1,Computadora laptop
1,1,1070,5,1,1,1,Computadora de escritorio
1,1,2362,24,2,1,NA,NA
1,1,2362,26,1,1,NA,NA
1,1,2362,25,2,1,NA,NA
1,1,2362,23,2,1,NA,NA
1,1,2362,27,1,1,1,Computadora de escritorio y Computadora laptop
1,1,1120,50,2,2,1,Computadora de escritorio y Computadora laptop
1,1,1120,52,2,1,NA,NA
1,1,1120,53,2,1,1,Computadora laptop
1,1,1120,56,1,1,1,Computadora laptop
1,1,1120,55,2,2,NA,NA
1,1,1120,54,2,1,NA,NA
1,1,1120,51,1,1,1,Computadora laptop
1,1,2410,78,2,1,NA,NA
1,1,2410,79,1,1,NA,NA
1,1,2410,77,2,1,NA,NA
1,1,835,96,2,1,NA,NA
1,1,835,97,1,1,NA,NA
1,1,835,95,2,1,NA,NA
1,1,835,98,2,1,NA,NA
1,1,1578,123,1,1,1,Computadora laptop
1,1,1578,126,1,1,1,Computadora laptop
1,1,1578,124,2,1,1,Computadora de escritorio y Computadora laptop
1,1,1578,125,2,1,1,Computadora laptop
1,1,510,161,2,2,NA,NA
1,1,510,162,1,2,NA,NA
1,1,510,158,2,1,1,Computadora laptop
1,1,510,157,1,2,1,Computadora laptop
1,1,510,163,2,2,NA,NA
1,1,510,164,2,2,NA,NA
1,1,510,156,2,1,NA,NA
1,1,510,160,2,2,NA,NA
1,1,510,159,2,2,NA,NA
1,1,953,210,2,1,1,Computadora de escritorio
1,1,953,207,1,1,NA,NA
1,1,953,211,2,1,1,Computadora laptop
1,1,953,209,2,1,NA,NA
1,1,953,206,2,1,1,Computadora de escritorio
1,1,953,208,2,1,1,Computadora laptop
1,1,953,205,2,1,NA,NA
1,1,1056,239,1,1,NA,NA
1,1,1056,235,2,1,NA,NA
1,1,1056,238,1,1,1,Computadora laptop
1,1,1056,233,1,1,NA,NA
1,1,1056,234,2,1,NA,NA
1,1,1056,236,2,1,1,Computadora de escritorio
1,1,1056,237,1,1,NA,NA
1,1,1792,253,2,1,NA,NA
1,1,1792,254,1,1,1,Computadora de escritorio
1,1,1792,257,2,1,NA,NA
1,1,1792,256,2,1,NA,NA
1,1,1792,255,2,1,NA,NA
1,1,1792,258,2,1,NA,NA
1,1,1792,259,1,1,1,Computadora de escritorio y Computadora laptop
1,1,1792,252,1,1,1,Computadora de escritorio
1,1,658,260,1,1,NA,NA
1,1,658,264,1,1,1,Computadora laptop
1,1,658,262,2,1,1,Computadora laptop
1,1,658,263,2,1,NA,NA
1,1,658,261,2,2,NA,NA
1,2,1198,314,2,1,NA,NA
1,2,1198,315,2,1,NA,NA
