"depto","area","factor","sexo","uso_celular","tiene_celular","uso_internet"
1,1,1070,1,1,1,1
1,1,1070,1,1,1,1
1,1,1070,2,1,1,2
1,1,1070,2,1,1,1
1,1,1070,1,1,1,NA
1,1,1070,1,1,1,1
1,1,2362,1,2,2,NA
1,1,2362,2,2,2,NA
1,1,2362,1,1,1,NA
1,1,2362,2,1,1,NA
1,1,2362,2,2,2,NA
1,1,2362,1,1,1,1
1,1,2362,2,1,1,NA
1,1,2362,1,1,1,1
1,1,2362,2,1,2,2
1,1,2362,1,1,1,1
1,1,2362,1,1,1,1
1,1,2362,1,1,1,1
1,1,2362,1,1,1,NA
1,1,2362,2,1,1,NA
1,1,2362,1,1,1,NA
1,1,2362,2,1,1,2
1,1,2362,1,1,1,2
1,1,2362,1,NA,NA,NA
1,1,2362,2,1,1,1
1,1,2362,2,1,1,NA
1,1,2362,1,1,1,NA
1,1,2362,2,1,1,1
1,1,2362,2,2,2,NA
1,1,1120,1,1,1,2
1,1,1120,2,1,1,1
1,1,1120,2,1,1,1
1,1,1120,2,1,1,1
1,1,1120,1,1,1,1
1,1,1120,1,1,1,1
1,1,1120,2,1,1,1
1,1,1120,1,NA,NA,NA
1,1,1120,1,1,2,1
1,1,1120,2,1,1,1
1,1,1120,2,1,1,1
1,1,1120,1,1,1,1
1,1,1120,2,1,1,1
1,1,1120,2,1,1,1
1,1,1120,1,1,1,NA
1,1,1120,1,1,1,1
1,1,1120,1,2,2,NA
1,1,1120,2,1,1,NA
1,1,1120,2,2,2,NA
1,1,1120,1,1,1,1
1,1,1120,2,1,1,1
1,1,1120,1,1,1,1
1,1,1120,1,1,1,1
1,1,1120,2,1,1,1
1,1,1120,1,2,2,NA
1,1,1120,1,1,1,1
1,1,1120,1,1,1,1
1,1,1120,2,1,1,NA
1,1,1120,1,1,1,1
1,1,1120,2,1,1,1
1,1,1120,1,1,1,1
1,1,2410,1,1,1,1
1,1,2410,2,1,1,1
1,1,2410,2,1,1,NA
1,1,2410,2,1,1,NA
1,1,2410,2,2,2,NA
1,1,2410,2,2,2,NA
1,1,2410,2,1,1,1
1,1,2410,1,1,2,1
1,1,2410,2,NA,NA,NA
1,1,2410,2,NA,NA,NA
1,1,2410,1,NA,NA,NA
1,1,2410,2,1,1,1
1,1,2410,1,1,1,1
1,1,2410,1,1,1,1
1,1,835,1,1,1,NA
1,1,835,2,2,2,NA
1,1,835,2,1,1,NA
1,1,835,1,1,1,NA
1,1,835,2,1,1,NA
1,1,835,1,1,1,1
1,1,835,1,1,2,NA
1,1,835,2,1,1,1
1,1,1578,2,1,1,1
1,1,1578,1,1,1,NA
1,1,1578,1,1,1,NA
1,1,1578,1,1,1,1
1,1,1578,2,1,1,1
1,1,1578,1,1,1,NA
1,1,1578,2,1,1,1
1,1,1578,1,1,1,1
1,1,1578,1,1,1,1
1,1,510,2,1,1,2
1,1,510,1,1,1,1
1,1,510,2,1,1,1
1,1,510,2,NA,NA,NA
1,1,510,2,2,2,NA
1,1,510,1,2,2,NA
1,1,510,2,1,1,1
1,1,510,2,1,1,1
1,1,510,2,1,1,1
1,1,510,1,1,1,1
1,1,510,2,1,1,1
1,1,510,2,1,1,NA
1,1,510,1,1,1,1
1,1,510,2,1,1,1
1,1,510,1,1,1,1
1,1,510,1,1,1,1
1,1,510,1,1,1,NA
1,1,510,2,1,1,1
1,1,510,2,1,1,1
1,1,510,1,1,1,2
1,1,510,2,1,1,2
1,1,510,1,1,1,1
1,1,510,2,1,1,1
1,1,510,2,NA,NA,NA
1,1,510,2,1,1,1
1,1,510,1,1,1,1
1,1,510,1,1,1,1
1,1,510,1,1,1,1
1,1,510,2,2,2,NA
1,1,953,1,1,1,1
1,1,953,2,1,1,1
1,1,953,1,1,1,1
1,1,953,1,1,1,1
1,1,953,2,1,1,NA
1,1,953,1,1,1,1
1,1,953,1,1,1,NA
1,1,953,2,1,1,1
1,1,953,2,1,1,NA
1,1,953,1,2,2,NA
1,1,953,2,1,1,1
1,1,953,2,1,1,1
1,1,953,2,1,1,1
1,1,953,1,2,2,NA
1,1,953,1,1,1,NA
1,1,953,2,1,1,NA
1,1,953,1,2,2,NA
1,1,953,1,1,1,NA
1,1,1056,1,1,1,1
1,1,1056,2,1,1,1
1,1,1056,1,NA,NA,NA
1,1,1056,2,1,1,NA
1,1,1056,2,1,1,1
1,1,1056,1,1,1,1
1,1,1056,2,1,1,NA
1,1,1056,2,1,1,1
1,1,1056,2,1,1,NA
1,1,1056,1,1,2,NA
1,1,1056,1,NA,NA,NA
1,1,1056,2,1,1,1
1,1,1056,1,1,1,1
1,1,1056,2,1,1,1
1,1,1056,1,1,2,NA
1,1,1056,2,1,2,1
1,1,1056,1,1,2,1
1,1,1056,1,1,1,1
1,1,1056,2,1,1,1
1,1,1056,2,NA,NA,NA
1,1,1056,1,1,1,NA
1,1,1056,2,1,1,NA
1,1,1792,1,1,1,1
1,1,1792,2,1,1,1
1,1,1792,1,1,2,1
1,1,1792,1,1,1,1
1,1,1792,2,2,2,NA
1,1,1792,1,1,1,1
1,1,1792,2,1,1,1
1,1,1792,1,1,1,NA
1,1,1792,2,2,2,NA
1,1,1792,2,2,2,NA
1,1,1792,1,1,1,2
1,1,1792,2,1,1,1
1,1,1792,1,1,1,1
1,1,1792,2,1,1,1
1,1,1792,2,1,1,1
1,1,1792,1,1,1,1
1,1,1792,1,1,1,1
1,1,1792,2,1,1,1
1,1,1792,1,1,1,1
1,1,1792,2,1,1,1
1,1,1792,2,NA,NA,NA
1,1,1792,1,NA,NA,NA
1,1,1792,2,1,1,NA
1,1,1792,1,1,1,NA
1,1,1792,2,1,1,NA
1,1,1792,2,1,1,1
1,1,1792,2,1,1,1
1,1,1792,1,1,1,1
1,1,1792,2,1,1,1
1,1,1792,2,1,1,1
1,1,1792,2,1,1,1
1,1,658,1,1,1,1
1,1,658,2,2,2,NA
1,1,658,1,1,1,NA
1,1,658,2,1,1,1
1,1,658,1,2,2,1
1,1,658,1,1,1,1
1,1,658,2,1,1,1
1,1,658,1,2,2,NA
1,1,658,1,1,2,1
1,1,658,2,1,1,1
1,1,658,1,1,1,NA
1,1,658,1,1,1,NA
1,1,658,2,1,1,1
1,1,658,2,1,1,1
1,1,658,1,NA,NA,NA
1,1,658,1,NA,NA,NA
1,1,658,1,1,1,NA
1,1,658,2,1,1,NA
1,2,1198,1,1,1,NA
1,2,1198,2,1,1,1
1,2,1198,1,1,1,1
1,2,1198,1,1,1,1
1,2,1198,1,2,2,NA
1,2,1198,1,2,2,NA
1,2,1198,2,1,1,NA
1,2,1198,1,1,1,1
1,2,1198,2,1,1,1
1,2,1198,1,2,2,NA
1,2,1198,1,1,1,1
1,2,1198,2,1,1,1
1,2,1198,2,1,1,1
1,2,1198,2,1,1,1
1,2,1198,1,1,1,1
1,2,1198,1,2,2,NA
1,2,1198,2,1,1,1
1,2,1198,1,1,1,1
1,2,1198,2,1,1,NA
1,2,1198,1,1,1,1
1,2,1198,1,2,2,NA
1,2,1198,2,1,1,1
1,2,1198,1,NA,NA,NA
1,2,1198,1,1,1,NA
1,2,1198,2,1,1,NA
1,2,1198,1,1,1,1
1,1,900,2,1,1,NA
1,1,900,2,1,1,1
1,1,900,1,1,1,1
1,1,900,2,NA,NA,NA
1,1,900,2,1,1,1
1,1,900,1,1,1,1
1,1,900,2,2,2,NA
1,1,900,1,1,1,2
1,1,900,2,1,1,1
1,1,900,2,1,1,1
1,1,900,1,1,1,1
1,1,900,2,1,1,NA
1,1,900,2,NA,NA,NA
1,1,900,2,1,1,NA
1,1,900,2,1,1,1
1,1,900,2,1,1,NA
1,1,900,1,2,2,NA
1,1,900,1,1,1,NA
1,1,900,2,1,1,NA
1,1,900,1,1,1,1
1,1,900,2,1,1,1
1,1,900,2,1,1,NA
1,1,725,1,1,1,1
1,1,725,2,1,1,1
1,1,725,2,1,1,NA
1,1,725,1,NA,NA,NA
1,1,725,1,1,1,1
1,1,725,2,1,1,1
1,1,725,1,2,2,NA
1,1,725,2,NA,NA,NA
1,1,725,1,1,1,1
1,1,725,1,1,1,1
1,1,725,2,1,1,1
1,1,725,1,1,1,1
1,1,725,1,NA,NA,NA
1,1,725,1,1,1,1
1,1,725,2,1,1,1
1,1,725,1,1,1,1
1,1,725,2,1,1,1
1,1,725,1,1,1,1
1,1,725,1,1,1,1
1,1,725,1,2,2,NA
1,1,725,2,2,2,NA
1,1,725,2,NA,NA,NA
1,1,725,2,1,1,2
1,1,725,1,1,1,2
1,1,725,1,1,1,1
1,1,725,1,1,1,NA
1,1,725,2,2,2,NA
1,1,725,1,1,1,1
1,1,725,1,1,1,NA
1,1,725,1,1,1,1
1,1,725,1,1,1,1
1,1,725,2,1,1,NA
1,1,725,1,1,1,1
1,1,658,2,1,1,1
1,1,658,2,1,1,1
1,1,658,2,1,1,1
1,1,658,2,1,1,1
1,1,658,2,1,1,NA
1,1,658,2,1,1,1
1,1,658,1,1,1,1
1,1,658,2,1,1,1
1,1,658,1,1,1,1
1,1,1597,1,1,1,1
1,1,1597,2,1,1,1
1,1,1597,2,1,1,NA
1,1,1597,2,1,1,1
1,1,1597,2,1,2,1
1,1,848,2,2,2,NA
1,1,848,2,1,1,1
1,1,848,2,1,1,NA
1,1,848,2,1,1,1
1,1,848,1,1,1,NA
1,1,848,2,1,1,NA
1,1,848,1,1,1,1
1,1,848,2,1,1,1
1,1,848,1,1,1,1
1,1,848,1,1,1,1
1,1,848,2,1,1,1
1,1,848,1,1,2,NA
1,1,848,1,2,2,NA
1,1,848,2,1,1,1
1,1,1204,1,1,1,1
1,1,1204,2,1,1,1
1,1,1204,2,1,1,1
1,1,1204,1,1,1,NA
1,1,1204,2,1,1,1
1,1,1204,1,1,1,1
1,1,1204,1,1,1,1
1,1,1204,1,1,1,2
1,1,1204,2,1,1,1
1,1,1204,2,1,1,NA
1,1,1204,1,1,1,1
1,1,1204,2,1,1,1
1,1,1204,2,NA,NA,NA
1,1,1204,2,NA,NA,NA
1,1,800,2,1,1,1
1,1,800,1,1,1,1
1,1,800,1,2,2,NA
1,1,800,2,NA,NA,NA
1,1,800,1,1,1,1
1,1,800,2,1,2,2
1,1,800,2,1,2,NA
1,1,800,2,NA,NA,NA
1,1,800,1,NA,NA,NA
1,1,800,1,1,1,1
1,1,800,2,1,1,NA
1,1,800,2,NA,NA,NA
1,1,800,2,1,1,1
1,1,800,1,NA,NA,NA
1,1,800,1,1,1,1
1,1,800,2,1,1,1
1,1,800,2,NA,NA,NA
1,1,800,1,1,1,1
1,1,800,2,1,1,1
1,1,800,2,1,2,1
1,1,800,1,NA,NA,NA
1,1,800,1,1,1,NA
1,1,800,2,1,1,NA
1,1,800,1,1,1,1
1,1,800,1,1,1,1
1,1,800,1,1,2,2
1,2,1459,1,1,1,1
1,2,1459,2,2,2,NA
1,2,1459,2,1,1,1
1,2,1459,1,1,1,1
1,2,1459,1,1,1,1
1,2,1459,2,1,1,1
1,2,1459,2,1,1,2
1,2,1459,1,1,1,1
1,2,1459,2,1,1,1
1,2,1459,1,1,1,NA
1,2,1459,2,1,2,1
1,2,1459,1,1,1,1
1,2,1459,1,1,1,1
1,2,1459,2,1,1,1
1,2,1459,1,2,2,NA
1,2,1459,2,2,2,NA
1,2,1459,1,NA,NA,NA
1,2,1459,1,1,1,NA
1,1,1456,1,1,1,1
1,1,1456,2,2,2,NA
1,1,1456,1,1,1,1
1,1,1456,1,1,1,1
1,1,1456,2,1,1,1
1,1,1456,1,1,1,1
1,1,1456,1,1,1,NA
1,1,1456,2,1,1,1
1,1,1456,2,1,1,1
