DEPARTAMENTO,Total_Personas_Dpto,Region,Total_Personas_Region,Proporcion_Regional
Alta Verapaz,1215038,Reg. II,1514514,0.8022626400284184
Baja Verapaz,299476,Reg. II,1514514,0.19773735997158165
Chimaltenango,615776,Reg. V,1679426,0.3666586083578556
Chiquimula,415063,Reg. III,1245757,0.3331813507770777
El Progreso,176632,Reg. III,1245757,0.14178688139019086
Escuintla,733181,Reg. V,1679426,0.43656642209897906
Guatemala,3015081,Reg. I,3015081,1
Huehuetenango,1170669,Reg. VII,2119930,0.5522205921893647
Izabal,408688,Reg. III,1245757,0.32806398037498485
Jalapa,342923,Reg. IV,1227925,0.2792703137406601
Jutiapa,488395,Reg. IV,1227925,0.39774008998920946
Petén,545600,Reg. VIII,545600,1
Quetzaltenango,799101,Reg. VI,3553053,0.2249054545485249
Quiché,949261,Reg. VII,2119930,0.44777940781063524
Retalhuleu,326828,Reg. VI,3553053,0.09198511815050324
Sacatepéquez,330469,Reg. V,1679426,0.19677496954316534
San Marcos,1032277,Reg. VI,3553053,0.2905323956608584
Santa Rosa,396607,Reg. IV,1227925,0.3229895962701305
Sololá,421583,Reg. VI,3553053,0.11865373243799066
Suchitepéquez,554695,Reg. VI,3553053,0.15611785132391776
Totonicapán,418569,Reg. VI,3553053,0.11780544787820503
Zacapa,245374,Reg. III,1245757,0.19696778745774657
