Anio,Mes,DEPARTAMENTO,Region,IPC_Regional_Actual,IPC_Regional_Anterior,Inflacion_regional,Proporcion_Regional,Poblacion_pais,Poblacion_Dpto,Prop_Depto,Contribucion_Inflacion_Depto
2022,Enero,Alta Verapaz,Reg II,223.78,220.08,1.681206834,0.802871557,17357886,1381253,0.079574955,0.133781958
2022,Febrero,Alta Verapaz,Reg II,225.34,219.44,2.688662049,0.802871557,17357886,1381253,0.079574955,0.213950162
2022,Marzo,Alta Verapaz,Reg II,227.69,219.21,3.868436659,0.802871557,17357886,1381253,0.079574955,0.307830674
2022,Abril,Alta Verapaz,Reg II,229.18,219.3,4.505243958,0.802871557,17357886,1381253,0.079574955,0.358504586
2022,Mayo,Alta Verapaz,Reg II,230.4,218.17,5.60572031,0.802871557,17357886,1381253,0.079574955,0.446074942
2022,Junio,Alta Verapaz,Reg II,239.08,218.02,9.659664251,0.802871557,17357886,1381253,0.079574955,0.76866735
2022,Julio,Alta Verapaz,Reg II,245.7,219.02,12.18153593,0.802871557,17357886,1381253,0.079574955,0.969345176
2022,Agosto,Alta Verapaz,Reg II,249.4,219.95,13.38940668,0.802871557,17357886,1381253,0.079574955,1.065461436
2022,Septiembre,Alta Verapaz,Reg II,249.05,220.98,12.70250701,0.802871557,17357886,1381253,0.079574955,1.010801426
2022,Octubre,Alta Verapaz,Reg II,250.41,221.22,13.19500949,0.802871557,17357886,1381253,0.079574955,1.049992289
2022,Noviembre,Alta Verapaz,Reg II,248.03,222.16,11.64476053,0.802871557,17357886,1381253,0.079574955,0.926631297
2022,Diciembre,Alta Verapaz,Reg II,247.87,221.51,11.90013995,0.802871557,17357886,1381253,0.079574955,0.946953103
2022,Enero,Baja Verapaz,Reg II,223.78,220.08,1.681206834,0.197128443,17357886,339138,0.019537978,0.032847383
2022,Febrero,Baja Verapaz,Reg II,225.34,219.44,2.688662049,0.197128443,17357886,339138,0.019537978,0.052531021
2022,Marzo,Baja Verapaz,Reg II,227.69,219.21,3.868436659,0.197128443,17357886,339138,0.019537978,0.075581431
2022,Abril,Baja Verapaz,Reg II,229.18,219.3,4.505243958,0.197128443,17357886,339138,0.019537978,0.088023359
2022,Mayo,Baja Verapaz,Reg II,230.4,218.17,5.60572031,0.197128443,17357886,339138,0.019537978,0.109524442
2022,Junio,Baja Verapaz,Reg II,239.08,218.02,9.659664251,0.197128443,17357886,339138,0.019537978,0.188730311
2022,Julio,Baja Verapaz,Reg II,245.7,219.02,12.18153593,0.197128443,17357886,339138,0.019537978,0.238002585
2022,Agosto,Baja Verapaz,Reg II,249.4,219.95,13.38940668,0.197128443,17357886,339138,0.019537978,0.261601937
2022,Septiembre,Baja Verapaz,Reg II,249.05,220.98,12.70250701,0.197128443,17357886,339138,0.019537978,0.248181306
2022,Octubre,Baja Verapaz,Reg II,250.41,221.22,13.19500949,0.197128443,17357886,339138,0.019537978,0.257803809
2022,Noviembre,Baja Verapaz,Reg II,248.03,222.16,11.64476053,0.197128443,17357886,339138,0.019537978,0.227515079
2022,Diciembre,Baja Verapaz,Reg II,247.87,221.51,11.90013995,0.197128443,17357886,339138,0.019537978,0.232504676
2022,Enero,Chimaltenango,Reg V,141.1,137.92,2.305684455,0.3844637,17357886,759217,0.043739024,0.100848389
2022,Febrero,Chimaltenango,Reg V,141.06,138.55,1.811620354,0.3844637,17357886,759217,0.043739024,0.079238507
2022,Marzo,Chimaltenango,Reg V,143.74,139.49,3.046813392,0.3844637,17357886,759217,0.043739024,0.133264645
2022,Abril,Chimaltenango,Reg V,144.43,139.77,3.334048794,0.3844637,17357886,759217,0.043739024,0.145828042
2022,Mayo,Chimaltenango,Reg V,147.17,139.96,5.151471849,0.3844637,17357886,759217,0.043739024,0.225320353
2022,Junio,Chimaltenango,Reg V,148.61,140.22,5.983454571,0.3844637,17357886,759217,0.043739024,0.261710466
2022,Julio,Chimaltenango,Reg V,150.37,141.06,6.600028357,0.3844637,17357886,759217,0.043739024,0.288678802
2022,Agosto,Chimaltenango,Reg V,151.26,141.32,7.033682423,0.3844637,17357886,759217,0.043739024,0.307646407
2022,Septiembre,Chimaltenango,Reg V,152.18,141.75,7.358024691,0.3844637,17357886,759217,0.043739024,0.321832822
2022,Octubre,Chimaltenango,Reg V,153.58,142.25,7.964850615,0.3844637,17357886,759217,0.043739024,0.348374796
2022,Noviembre,Chimaltenango,Reg V,153.8,143.16,7.432243643,0.3844637,17357886,759217,0.043739024,0.325079086
2022,Diciembre,Chimaltenango,Reg V,154.16,143.54,7.398634527,0.3844637,17357886,759217,0.043739024,0.323609056
2022,Enero,Chiquimula,Reg III,144.49,138.83,4.076928618,0.329860977,17357886,453449,0.026123515,0.106503707
2022,Febrero,Chiquimula,Reg III,145.29,139.03,4.502625333,0.329860977,17357886,453449,0.026123515,0.117624402
2022,Marzo,Chiquimula,Reg III,148.36,139.43,6.404647493,0.329860977,17357886,453449,0.026123515,0.167311907
2022,Abril,Chiquimula,Reg III,149.36,140.31,6.450003564,0.329860977,17357886,453449,0.026123515,0.168496767
