ANIO,DEPARTAMENTO,POBLACION,PROPORCION_POBLACION,FUERZA_DE_TRABAJO,POBLACION_OCUPADA,INFORMALIDAD,FORMALIDAD,TASA_DESEMPLEO,DESEMPLEADOS
2021,Guatemala,3557909,0.2079463365499406,1540337,1512625,1066355,446270,0.02221528019559955,34219
2022,Guatemala,3599257,0.20735572292616739,1485884,1441623,1025349,416274,0.029787450791041423,44261
2023,Guatemala,3639725,0.20677399615996223,1393190,1369499,962826,406673,0.017004801607184837,23691
2021,El Progreso,194388,0.011361244053535335,84157,82643,58261,24382,0.02221528019559955,1870
2022,El Progreso,195673,0.011272858918418983,80780,78374,55743,22631,0.029787450791041423,2406
2023,El Progreso,196917,0.011186920715667058,75375,74093,52091,22002,0.017004801607184837,1282
2021,Sacatepéquez,396167,0.023154464128222592,171514,168428,118737,49691,0.02221528019559955,3810
2022,Sacatepéquez,402357,0.023180069278021527,166105,161158,114623,46535,0.029787450791041423,4948
2023,Sacatepéquez,408476,0.023205658354803378,156354,153695,108055,45640,0.017004801607184837,2659
2021,Chimaltenango,746366,0.0436222723586896,323127,317313,223696,93617,0.02221528019559955,7178
2022,Chimaltenango,759217,0.043739024441109935,313428,304092,216284,87808,0.029787450791041423,9336
2023,Chimaltenango,771887,0.043851158967758486,295458,290434,204189,86244,0.017004801607184837,5024
2021,Escuintla,802479,0.046901865170879804,347420,341170,240514,100655,0.02221528019559955,7718
2022,Escuintla,813169,0.046847237042575346,335701,325702,231654,94048,0.029787450791041423,10000
2023,Escuintla,823684,0.04679376388409078,315284,309923,217891,92032,0.017004801607184837,5361
2021,Santa Rosa,446436,0.02609249722351226,193277,189800,133803,55997,0.02221528019559955,4294
2022,Santa Rosa,451731,0.02602454008512327,186488,180933,128688,52245,0.029787450791041423,5555
2023,Santa Rosa,456928,0.025958232700926367,174900,171926,120872,51053,0.017004801607184837,2974
2021,Sololá,474240,0.027717535958745383,205314,201621,142136,59484,0.02221528019559955,4561
2022,Sololá,481114,0.02771731534588947,198619,192702,137059,55644,0.029787450791041423,5916
2023,Sololá,487906,0.0277181032551697,186757,183582,129067,54515,0.017004801607184837,3176
2021,Totonicapán,493864,0.02886448460427174,213810,209964,148018,61946,0.02221528019559955,4750
2022,Totonicapán,500941,0.02885956273707524,206804,200644,142707,57937,0.029787450791041423,6160
2023,Totonicapán,507905,0.02885425314264831,194413,191107,134357,56749,0.017004801607184837,3306
2021,Quetzaltenango,909879,0.053178989331577456,393917,386830,272704,114126,0.02221528019559955,8751
2022,Quetzaltenango,923211,0.053186833926665955,381130,369777,263003,106775,0.029787450791041423,11353
2023,Quetzaltenango,936385,0.05319634543660475,358423,352328,247704,104624,0.017004801607184837,6095
2021,Suchitepéquez,612438,0.035794686841055384,265145,260375,183556,76818,0.02221528019559955,5890
2022,Suchitepéquez,619475,0.03568838970367705,255738,248121,176475,71646,0.029787450791041423,7618
2023,Suchitepéquez,626419,0.03558707317188177,239777,235699,165708,69991,0.017004801607184837,4077
2021,Retalhuleu,376398,0.021999040780617082,162955,160024,112812,47212,0.02221528019559955,3620
2022,Retalhuleu,381635,0.021986260308426958,157551,152858,108719,44138,0.029787450791041423,4693
2023,Retalhuleu,386783,0.021973271760019966,148050,145533,102317,43216,0.017004801607184837,2518
2021,San Marcos,1189274,0.06950857131368286,514876,505613,356442,149171,0.02221528019559955,11438
2022,San Marcos,1206198,0.0694899136911027,497956,483123,343619,139504,0.029787450791041423,14833
2023,San Marcos,1222951,0.06947625586488594,468113,460153,323510,136643,0.017004801607184837,7960
2021,Huehuetenango,1399367,0.08178771327172245,605833,594933,419410,175523,0.02221528019559955,13459
2022,Huehuetenango,1426830,0.08220067812405267,589039,571493,406472,165021,0.029787450791041423,17546
2023,Huehuetenango,1454019,0.08260330632740444,556560,547096,384636,162460,0.017004801607184837,9464
2021,Quiché,1081964,0.0632367073128964,468418,459991,324280,135711,0.02221528019559955,10406
2022,Quiché,1100815,0.06341872506824851,454450,440913,313598,127315,0.029787450791041423,13537
2023,Quiché,1119425,0.06359490913499391,428486,421200,296124,125075,0.017004801607184837,7286
2021,Baja Verapaz,333537,0.019493977292240342,144399,141801,99966,41836,0.02221528019559955,3208
2022,Baja Verapaz,339138,0.01953797829989205,140007,135836,96613,39223,0.029787450791041423,4170
2023,Baja Verapaz,344655,0.01957996597174561,131925,129681,91173,38509,0.017004801607184837,2243
2021,Alta Verapaz,1355134,0.07920246156781054,586683,576128,406153,169975,0.02221528019559955,13033
2022,Alta Verapaz,1381253,0.07957495515294892,570224,553238,393489,159750,0.029787450791041423,16986
2023,Alta Verapaz,1407025,0.07993356144955205,538572,529414,372204,157209,0.017004801607184837,9158
2021,Petén,622409,0.03637745411299501,269462,264614,186545,78069,0.02221528019559955,5986
2022,Petén,631305,0.03636992430990733,260622,252859,179845,73014,0.029787450791041423,7763
2023,Petén,640151,0.03636719269060052,245033,240866,169341,71525,0.017004801607184837,4167
2021,Izabal,446461,0.026093958379043148,193288,189810,133811,56000,0.02221528019559955,4294
2022,Izabal,452338,0.026059509781317842,186739,181177,128861,52315,0.029787450791041423,5562
2023,Izabal,458107,0.026025212085762472,175351,172369,121184,51185,0.017004801607184837,2982
2021,Zacapa,270473,0.01580812479624186,117097,114990,81065,33926,0.02221528019559955,2601
