DEPTO,POBLACION_2023,P06B01_1,P06B01_2
Alta Verapaz,1407025,1450,652
Baja Verapaz,344655,1261,329
Chimaltenango,771887,1606,288
Chiquimula,459294,1092,355
El Progreso,196917,1520,243
Escuintla,823684,2054,306
Guatemala,3639725,2599,246
Huehuetenango,1454019,1178,419
Izabal,458107,1522,343
Jalapa,413918,1173,353
Jutiapa,563958,1543,279
Petén,640151,1300,297
Quetzaltenango,936385,1507,285
Quiché,1119425,1222,536
Retalhuleu,386783,1244,202
Sacatepéquez,408476,2082,217
San Marcos,1222951,1327,273
Santa Rosa,456928,1156,202
Sololá,487906,1105,333
Suchitepéquez,626419,1520,386
Totonicapán,507905,1176,299
Zacapa,275913,1373,293
