Anio,Mes,Region,IPC
2021,Enero,Rep,148.87
2021,Enero,Reg I,126.48
2021,Enero,Reg II,220.08
2021,Enero,Reg III,138.83
2021,Enero,Reg IV,207.5
2021,Enero,Reg V,137.92
2021,Enero,Reg VI,136.55
2021,Enero,Reg VII,197.69
2021,Enero,Reg VIII,153.57
2021,Febrero,Rep,149.34
2021,Febrero,Reg I,127.04
2021,Febrero,Reg II,219.44
2021,Febrero,Reg III,139.03
2021,Febrero,Reg IV,208.42
2021,Febrero,Reg V,138.55
2021,Febrero,Reg VI,135.62
2021,Febrero,Reg VII,201.11
2021,Febrero,Reg VIII,153.55
2021,Marzo,Rep,149.84
2021,Marzo,Reg I,127.54
2021,Marzo,Reg II,219.21
2021,Marzo,Reg III,139.43
2021,Marzo,Reg IV,209.08
2021,Marzo,Reg V,139.49
2021,Marzo,Reg VI,136.18
2021,Marzo,Reg VII,201.49
2021,Marzo,Reg VIII,153.77
2021,Abril,Rep,150
2021,Abril,Reg I,127.63
2021,Abril,Reg II,219.3
2021,Abril,Reg III,140.31
2021,Abril,Reg IV,209.99
2021,Abril,Reg V,139.77
2021,Abril,Reg VI,136.43
2021,Abril,Reg VII,200.62
2021,Abril,Reg VIII,153.76
2021,Mayo,Rep,150.24
2021,Mayo,Reg I,128.11
2021,Mayo,Reg II,218.17
2021,Mayo,Reg III,140.72
2021,Mayo,Reg IV,210.64
2021,Mayo,Reg V,139.96
2021,Mayo,Reg VI,136.45
2021,Mayo,Reg VII,200.59
2021,Mayo,Reg VIII,154.52
2021,Junio,Rep,150.52
2021,Junio,Reg I,128.14
2021,Junio,Reg II,218.02
2021,Junio,Reg III,140.95
2021,Junio,Reg IV,211.01
2021,Junio,Reg V,140.22
2021,Junio,Reg VI,136.9
2021,Junio,Reg VII,201.8
2021,Junio,Reg VIII,154.7
2021,Julio,Rep,151.02
2021,Julio,Reg I,128.5
2021,Julio,Reg II,219.02
2021,Julio,Reg III,141.28
2021,Julio,Reg IV,211.36
2021,Julio,Reg V,141.06
2021,Julio,Reg VI,137.37
2021,Julio,Reg VII,202.48
2021,Julio,Reg VIII,155.03
2021,Agosto,Rep,151.33
2021,Agosto,Reg I,128.63
2021,Agosto,Reg II,219.95
2021,Agosto,Reg III,141.31
2021,Agosto,Reg IV,211.24
2021,Agosto,Reg V,141.32
2021,Agosto,Reg VI,137.61
2021,Agosto,Reg VII,203.5
2021,Agosto,Reg VIII,156.14
2021,Septiembre,Rep,151.65
2021,Septiembre,Reg I,128.84
2021,Septiembre,Reg II,220.98
2021,Septiembre,Reg III,141.39
2021,Septiembre,Reg IV,211.28
2021,Septiembre,Reg V,141.75
2021,Septiembre,Reg VI,137.96
2021,Septiembre,Reg VII,203.99
2021,Septiembre,Reg VIII,156.64
2021,Octubre,Rep,152.2
2021,Octubre,Reg I,129.49
2021,Octubre,Reg II,221.22
2021,Octubre,Reg III,142.1
2021,Octubre,Reg IV,211.55
2021,Octubre,Reg V,142.25
2021,Octubre,Reg VI,138.59
2021,Octubre,Reg VII,204.4
2021,Octubre,Reg VIII,156.89
2021,Noviembre,Rep,152.94
2021,Noviembre,Reg I,129.99
2021,Noviembre,Reg II,222.16
2021,Noviembre,Reg III,143.02
2021,Noviembre,Reg IV,212.13
2021,Noviembre,Reg V,143.16
2021,Noviembre,Reg VI,139.36
2021,Noviembre,Reg VII,205.56
2021,Noviembre,Reg VIII,157.81
2021,Diciembre,Rep,153.2
2021,Diciembre,Reg I,130.08
2021,Diciembre,Reg II,221.51
2021,Diciembre,Reg III,143.98
2021,Diciembre,Reg IV,212.73
2021,Diciembre,Reg V,143.54
2021,Diciembre,Reg VI,140.07
2021,Diciembre,Reg VII,205.74
2021,Diciembre,Reg VIII,157.01
2022,Enero,Rep,153.14
2022,Enero,Reg I,130.36
2022,Enero,Reg II,223.78
2022,Enero,Reg III,144.49
2022,Enero,Reg IV,212.98
2022,Enero,Reg V,141.1
2022,Enero,Reg VI,139.86
2022,Enero,Reg VII,205.68
2022,Enero,Reg VIII,156.42
2022,Febrero,Rep,153.79
2022,Febrero,Reg I,131.14
2022,Febrero,Reg II,225.34
2022,Febrero,Reg III,145.29
2022,Febrero,Reg IV,214.11
2022,Febrero,Reg V,141.06
2022,Febrero,Reg VI,139.99
2022,Febrero,Reg VII,206.62
2022,Febrero,Reg VIII,156.92
2022,Marzo,Rep,156.09
2022,Marzo,Reg I,133.13
2022,Marzo,Reg II,227.69
2022,Marzo,Reg III,148.36
2022,Marzo,Reg IV,217.01
2022,Marzo,Reg V,143.74
2022,Marzo,Reg VI,141.93
2022,Marzo,Reg VII,209.72
2022,Marzo,Reg VIII,158.34
2022,Abril,Rep,156.93
2022,Abril,Reg I,134.01
2022,Abril,Reg II,229.18
