DEPARTAMENTO,Anio,ISR,IVA,TOTAL,Proporcion_ISR,Proporcion_IVA,Proporcion_Otros_Impuestos,Poblacion,Recaudacion_Per_Capita_TOTAL,Recaudacion_Per_Capita_IVA
Alta Verapaz,2021,87.42901749,110.17893824999987,246.06851887000101,0.355304,0.447757,0.196939,1355134,181.58242570107532,81.30482907963336
Baja Verapaz,2021,11.569449770000002,23.184553089999994,52.30164762999999,0.221206,0.443285,0.335508,333537,156.80913251003633,69.51118793417221
Chimaltenango,2021,70.59534747,158.9978763,326.92101713000096,0.21594,0.48635,0.29771,746366,438.01702801306726,213.0293666914088
Chiquimula,2021,71.57551584,106.38417152999992,239.74318084000097,0.298551,0.443742,0.257707,447544,535.6862807679267,237.7066199747956
El Progreso,2021,29.93896729,34.30446267,92.5360858800002,0.323538,0.370714,0.305747,194388,476.0380572874879,176.4741788073338
Escuintla,2021,251.45526030000002,669.2316341499998,1103.7234706699999,0.227825,0.60634,0.165836,802479,1375.392341319835,833.9553236284062
Guatemala,2021,21724.268994480204,36566.3207552486,73878.6026863642,0.294054,0.494951,0.210995,3557909,20764.61277856297,10277.474987485233
Huehuetenango,2021,88.44227348000003,142.55536630999978,332.643155210001,0.265877,0.428553,0.305569,1399367,237.70973247904303,101.87132204060822
Izabal,2021,72.74914222000001,174.66560341000002,320.9121564299989,0.226695,0.544279,0.229027,446461,718.7910174236919,391.222533233586
Jalapa,2021,19.116578860000004,35.876605309999896,81.10575706000019,0.235699,0.442344,0.321957,400905,202.30667380052677,89.4890443122433
Jutiapa,2021,43.339096409999996,112.07188646999978,220.32838105000204,0.196702,0.508658,0.294639,552114,399.06320261757907,202.98685863788958
Petén,2021,41.55122556999999,69.41147332999971,164.55795520000098,0.252502,0.421806,0.325692,622409,264.388778439902,111.52067744842975
Quetzaltenango,2021,203.4292211,448.804750500001,910.015423920005,0.223545,0.493184,0.283272,909879,1000.1499363321991,493.2576205187733
Quiché,2021,51.12767648,91.0823523400001,201.016606470002,0.254346,0.453109,0.292546,1081964,185.78862741274386,84.18242412871416
Retalhuleu,2021,52.173085210000004,86.65858062,181.78223398000102,0.287009,0.476716,0.236275,376398,482.952178226242,230.23124623403947
Sacatepequez,2021,166.71737607,274.17497235999997,527.2720015400012,0.316189,0.519988,0.163824,396167,1330.9336757983406,692.0691838542836
San Marcos,2021,48.61154171,107.4153344799995,246.31457696000197,0.197356,0.43609,0.366554,1189274,207.11339603825692,90.32008980268593
Santa Rosa,2021,28.268097609999998,58.28859478999981,129.96706608000102,0.217502,0.448487,0.334011,446436,291.1213837593765,130.5642797399847
Sololá,2021,36.42939895000001,40.11085934999981,101.93176453000001,0.35739,0.393507,0.249103,474240,214.93708782473013,84.5792412069834
Suchitepequez,2021,59.244748740000006,95.2517105199999,210.48547434000102,0.281467,0.452533,0.265999,612438,343.68454331703947,155.52874008471045
Totonicapan,2021,36.376152590000004,62.18172387999989,141.3546699,0.25734,0.439899,0.302762,493864,286.22185439716196,125.90859807558334
Zacapa,2021,93.43716762999992,220.13635499000003,619.529877769993,0.150819,0.355328,0.493852,270473,2290.5424118858186,813.8940115649253
Alta Verapaz,2022,96.27923426000001,130.57853598,283.16170938,0.340015,0.461145,0.19884,1381253,205.0035072358214,94.53629130941255
Baja Verapaz,2022,13.8703558,24.88662925,58.95989719000009,0.235251,0.422094,0.342655,339138,173.8522288566899,73.38201336918894
Chimaltenango,2022,101.95697126,206.40322773000003,419.882505200001,0.242823,0.491574,0.265604,759217,553.0467642320983,271.8632851082102
Chiquimula,2022,96.33341637999989,128.0942855099998,290.41009479999997,0.331715,0.441081,0.227204,453449,640.4470950426618,282.48884772047086
El Progreso,2022,33.73919018000001,38.94737454,104.97306267,0.321408,0.371023,0.307569,195673,536.4718825285042,199.0431717201658
