Mes ,inflacion
Jan-94,10.87156809
Feb-94,11.22505037
Mar-94,11.0121752
Apr-94,10.65162909
May-94,10.30453256
Jun-94,8.339112357
Jul-94,8.804159422
Aug-94,10.73731916
Sep-94,11.97478995
Oct-94,12.30635335
Nov-94,12.43986253
Dec-94,11.59395691
Jan-95,9.323583177
Feb-95,7.935462647
Mar-95,7.840890487
Apr-95,7.39362563
May-95,8.121990365
Jun-95,9.153464564
Jul-95,8.888180958
Aug-95,8.248071772
Sep-95,8.130081298
Oct-95,8.6949783
Nov-95,8.572738384
Dec-95,8.609674475
Jan-96,9.759805402
Feb-96,10.82977424
Mar-96,11.47540982
Apr-96,11.94636938
May-96,11.01543945
Jun-96,10.33572788
Jul-96,11.60035108
Aug-96,12.02559256
Sep-96,11.76980912
Oct-96,10.63738772
Nov-96,10.44334977
Dec-96,10.85434173
Jan-97,10.8033241
Feb-97,12.66171207
Mar-97,11.50599129
Apr-97,10.13322568
May-97,9.614870273
Jun-97,8.968907784
Jul-97,7.982697613
Aug-97,8.04776739
Sep-97,8.331177235
Oct-97,8.480474292
Nov-97,7.658977945
Dec-97,7.125710665
Jan-98,7.287499994
Feb-98,5.448326428
Mar-98,6.105751607
Apr-98,6.940371444
May-98,7.319751139
Jun-98,7.425923678
Jul-98,7.271182331
Aug-98,6.307063913
Sep-98,5.493193213
Oct-98,4.966139945
Nov-98,7.350852274
Dec-98,7.477296849
Jan-99,6.291506474
Feb-99,5.166821124
Mar-99,3.99355507
Apr-99,3.473491787
May-99,3.728543819
Jun-99,4.22247445
Jul-99,5.216702501
Aug-99,6.034580179
Sep-99,6.791940241
Oct-99,7.57215621
Nov-99,5.149410085
Dec-99,4.916053992
Jan-00,5.270815858
Feb-00,6.622697453
Mar-00,8.274640399
Apr-00,9.067280438
May-00,7.361726123
Jun-00,7.231403263
Jul-00,6.142131388
Aug-00,4.709462885
Sep-00,4.292501564
Oct-00,3.841491753
Nov-00,4.177856481
Dec-00,5.082375969
Jan-01,6.046657604
Feb-01,5.989204906
Mar-01,5.422057917
Apr-01,4.872342601
May-01,6.050661472
Jun-01,6.295918353
Jul-01,6.973429692
Aug-01,8.79435526
Sep-01,8.986010435
Oct-01,9.467576099
Nov-01,9.506472499
Dec-01,8.91
Jan-02,8.848771825
Feb-02,9.009891292
Mar-02,9.127216051
Apr-02,9.253152277
May-02,9.312445611
Jun-02,9.13890756
Jul-02,9.097830235
Aug-02,7.726290049
Sep-02,7.102033157
Oct-02,6.602808516
Nov-02,6.344661986
Dec-02,6.326324481
Jan-03,6.199021216
Feb-03,6.001257754
Mar-03,5.775238775
Apr-03,5.672940331
May-03,5.564401984
Jun-03,5.242325622
Jul-03,4.649337057
Aug-03,4.964662782
Sep-03,5.677543516
Oct-03,5.836168544
Nov-03,5.835866255
Dec-03,5.854922289
Jan-04,6.212664272
Feb-04,6.263242644
Mar-04,6.565400843
Apr-04,6.653784768
May-04,7.265566065
Jun-04,7.404931047
Jul-04,7.635242137
Aug-04,7.655860344
Sep-04,8.046357628
Oct-04,8.638311892
Nov-04,9.222942479
Dec-04,9.226627504
Jan-05,9.039048687
Feb-05,9.036528958
Mar-05,8.766233766
Apr-05,8.877510822
May-05,8.523437512
Jun-05,8.800871538
Jul-05,9.300704722
Aug-05,9.373793531
Sep-05,9.446828068
Oct-05,10.28831563
Nov-05,9.247990386
Dec-05,8.566733885
Jan-06,8.083413157
Feb-06,7.263550582
Mar-06,7.280669819
Apr-06,7.480827678
May-06,7.616442295
Jun-06,7.552567586
Jul-06,7.035567522
Aug-06,6.996117182
Sep-06,5.698284909
Oct-06,3.852504132
Nov-06,4.401045251
Dec-06,5.792515143
Jan-07,6.224434144
Feb-07,6.621658482
Mar-07,7.024092306
Apr-07,6.401453951
May-07,5.465248512
Jun-07,5.313206533
Jul-07,5.586814051
Aug-07,6.208762209
Sep-07,7.331611365
Oct-07,7.717276096
Nov-07,9.129231983
Dec-07,8.74626088
Jan-08,8.388421805
Feb-08,8.762392064
Mar-08,9.099556109
Apr-08,10.36882394
May-08,12.24153241
Jun-08,13.55686053
Jul-08,14.1558523
Aug-08,13.68577996
Sep-08,12.7483648
Oct-08,12.92663427
Nov-08,10.84620957
Dec-08,9.400227233
Jan-09,7.881335854
Feb-09,6.498088801
Mar-09,4.998546939
Apr-09,3.622606897
May-09,2.294303792
Jun-09,0.617215297
Jul-09,-0.30204843
Aug-09,-0.732240431
Sep-09,0.032837127
Oct-09,-0.653487991
Nov-09,-0.609855707
Dec-09,-0.27876469
Jan-10,1.431771994
Feb-10,2.488190879
Mar-10,3.924938463
Apr-10,3.754481134
May-10,3.51070204
Jun-10,4.071420744
Jul-10,4.114485633
Aug-10,4.098632793
Sep-10,3.75530972
Oct-10,4.502440146
Nov-10,5.256310506
Dec-10,5.392548826
Jan-11,4.900634683
Feb-11,5.231534284
Mar-11,4.997951664
Apr-11,5.761148125
May-11,6.393022032
Jun-11,6.422299405
Jul-11,7.039674483
Aug-11,7.625826081
Sep-11,7.249315673
Oct-11,6.646495269
Nov-11,6.054843889
Dec-11,6.199999961
Jan-12,5.435429483
Feb-12,5.168340199
Mar-12,4.545454563
Apr-12,4.274498442
May-12,3.896604932
Jun-12,3.473088292
Jul-12,2.860672897
Aug-12,2.711384036
Sep-12,3.280393252
Oct-12,3.347834257
Nov-12,3.114088883
Dec-12,3.446327702
Jan-13,3.857008495
Feb-13,4.184217899
Mar-13,4.338495983
Apr-13,4.127161101
May-13,4.270330561
Jun-13,4.79369494
Jul-13,4.739905754
Aug-13,4.415011075
Sep-13,4.210526299
Oct-13,4.154465633
Nov-13,4.63073116
Dec-13,4.387402137
Jan-14,4.139492763
Feb-14,3.504043101
Mar-14,3.245998345
Apr-14,3.267273718
May-14,3.222934407
Jun-14,3.132189031
Jul-14,3.413902611
Aug-14,3.699788549
Sep-14,3.451910443
Oct-14,3.637322107
Nov-14,3.376191794
Dec-14,2.94733177
Jan-15,2.322344909
Feb-15,2.439236166
Mar-15,2.425082314
Apr-15,2.576071969
May-15,2.553044686
Jun-15,2.385037744
Jul-15,2.320225161
Aug-15,1.962283396
Sep-15,1.876379677
Oct-15,2.229569303
Nov-15,2.512902895
Dec-15,3.066237444
Jan-16,4.377762704
Feb-16,4.270824499
Mar-16,4.261796036
Apr-16,4.087308238
May-16,4.356602199
Jun-16,4.43271323
Jul-16,4.618591115
Aug-16,4.740481537
Sep-16,4.558713211
Oct-16,4.759930346
Nov-16,4.671508765
Dec-16,4.232412924
Jan-17,3.827673271
Feb-17,3.957740756
Mar-17,3.998377971
Apr-17,4.088737767
May-17,3.932946506
Jun-17,4.364920175
Jul-17,5.219539377
Aug-17,4.716831085
Sep-17,4.359955429
Oct-17,4.203277143
Nov-17,4.691688997
Dec-17,5.676890294
Jan-18,4.714095163
Feb-18,4.151031904
Mar-18,4.140996579
Apr-18,3.92034847
May-18,4.086538477
Jun-18,3.79026681
Jul-18,2.605271139
Aug-18,3.364982901
Sep-18,4.552050644
Oct-18,4.337587385
Nov-18,3.148301585
Dec-18,2.312915042
Jan-19,4.104868918
Feb-19,4.458455274
Mar-19,4.171034906
Apr-19,4.752994016
May-19,4.536988755
Jun-19,4.800000003
Jul-19,4.369648668
Aug-19,3.01293359
Sep-19,1.80436853
Oct-19,2.169639574
Nov-19,2.920774005
Dec-19,3.405527559
Jan-20,1.784429418
Feb-20,1.23589851
Mar-20,1.768384773
Apr-20,1.879242621
May-20,1.803021608
Jun-20,2.389030234
Jul-20,2.878359237
Aug-20,4.187473249
Sep-20,4.965556771
Oct-20,5.344545038
Nov-20,5.462930125
Dec-20,4.82369537
Jan-21,5.23822992
Feb-21,5.997586796
Mar-21,5.841633128
Apr-21,5.204095922
May-21,5.173258662
Jun-21,3.907220778
Jul-21,3.81521961
Aug-21,3.615200236
Sep-21,3.671041873
Oct-21,2.956098188
Nov-21,2.885973742
Dec-21,3.067814847
Jan-22,2.868274347
Feb-22,2.979777712
Mar-22,4.17111584
Apr-22,4.61999996
May-22,5.817358896
Jun-22,7.553813415
Jul-22,8.356509091
Aug-22,8.874644811
Sep-22,9.033959783
Oct-22,9.704336448
Nov-22,9.166993624
Dec-22,9.236292459
Jan-23,9.690479255
Feb-23,9.922621755
Mar-23,8.712922019
Apr-23,8.315809609
May-23,6.53541326
Jun-23,4.929272997
Jul-23,4.534343662
Aug-23,4.473173132
Sep-23,4.687027532
Oct-23,4.982931027
Nov-23,4.300431249
Dec-23,4.1768748
Jan-24,3.813570809
Feb-24,3.300403987
Mar-24,3.228372218
Apr-24,3.357393015
May-24,3.759193032
Jun-24,3.618951792
Jul-24,3.781577103
Aug-24,3.072173442
Sep-24,2.108123376
Oct-24,1.164202564
Nov-24,1.659669754
Dec-24,1.702855109
